nummer;artiest;titel
300;Alex Vissering;Haarfst in Westerwolde
299;De Kast;In nije dei
298;ABBA;Happy new year
297;Marlene Bakker;As t boeten st”rmt
296;Boudewijn de Groot;Verdronken vlinder
295;Dire Straits;Private investigations
294;Wham!;Last Christmas
293;P‚ Daalemmer & Rooie Rinus;Gehaktbal mit rooie kool
292;De Wuko's;De ijsbeer van het Noorden
291;Kenny Rogers & Dolly Parton;Islands in the stream
290;Erwin de Vries;Mien laid
289;Jan Henk de Groot;Dubbel cassettedeck
288;Status Quo;Whatever you want
287;De Stroatklinkers;In Haarkstee staait gain kroug
286;Wia Buze;Blief nog even
285;Herman Brood;Never be clever
284;Martijn van der Zande;Kade van Nes
283;Tina Turner;The best
282;B‚ Schmaal;Ik liek zoveul op die
281;Wat Aans!;Carnaval in t Noorden
280;Bon Jovi;Bed of roses
